age,sex,date,state,ethnicity,population
overall_age,overall_sex,2020-01-01,Johor,overall_ethnicity,4009.7
0-4,overall_sex,2020-01-01,Johor,overall_ethnicity,306.3
5-9,overall_sex,2020-01-01,Johor,overall_ethnicity,322.3
10-14,overall_sex,2020-01-01,Johor,overall_ethnicity,330.7
15-19,overall_sex,2020-01-01,Johor,overall_ethnicity,345.2
20-24,overall_sex,2020-01-01,Johor,overall_ethnicity,388.9
25-29,overall_sex,2020-01-01,Johor,overall_ethnicity,362.6
30-34,overall_sex,2020-01-01,Johor,overall_ethnicity,338.1
35-39,overall_sex,2020-01-01,Johor,overall_ethnicity,318.1
40-44,overall_sex,2020-01-01,Johor,overall_ethnicity,260.1
45-49,overall_sex,2020-01-01,Johor,overall_ethnicity,234.3
50-54,overall_sex,2020-01-01,Johor,overall_ethnicity,212.1
55-59,overall_sex,2020-01-01,Johor,overall_ethnicity,189.1
60-64,overall_sex,2020-01-01,Johor,overall_ethnicity,157.2
65-69,overall_sex,2020-01-01,Johor,overall_ethnicity,94.9
70-74,overall_sex,2020-01-01,Johor,overall_ethnicity,66.0
75-79,overall_sex,2020-01-01,Johor,overall_ethnicity,38.1
80-84,overall_sex,2020-01-01,Johor,overall_ethnicity,24.7
85+,overall_sex,2020-01-01,Johor,overall_ethnicity,20.9
overall_age,male,2020-01-01,Johor,overall_ethnicity,2141.3
0-4,male,2020-01-01,Johor,overall_ethnicity,152.0
5-9,male,2020-01-01,Johor,overall_ethnicity,165.6
10-14,male,2020-01-01,Johor,overall_ethnicity,171.3
15-19,male,2020-01-01,Johor,overall_ethnicity,181.9
20-24,male,2020-01-01,Johor,overall_ethnicity,221.9
25-29,male,2020-01-01,Johor,overall_ethnicity,208.9
30-34,male,2020-01-01,Johor,overall_ethnicity,190.2
35-39,male,2020-01-01,Johor,overall_ethnicity,173.1
40-44,male,2020-01-01,Johor,overall_ethnicity,142.1
45-49,male,2020-01-01,Johor,overall_ethnicity,123.7
50-54,male,2020-01-01,Johor,overall_ethnicity,109.0
55-59,male,2020-01-01,Johor,overall_ethnicity,99.7
60-64,male,2020-01-01,Johor,overall_ethnicity,79.2
65-69,male,2020-01-01,Johor,overall_ethnicity,47.3
70-74,male,2020-01-01,Johor,overall_ethnicity,32.8
75-79,male,2020-01-01,Johor,overall_ethnicity,18.7
80-84,male,2020-01-01,Johor,overall_ethnicity,12.2
85+,male,2020-01-01,Johor,overall_ethnicity,11.6
overall_age,female,2020-01-01,Johor,overall_ethnicity,1868.4
0-4,female,2020-01-01,Johor,overall_ethnicity,154.3
5-9,female,2020-01-01,Johor,overall_ethnicity,156.7
10-14,female,2020-01-01,Johor,overall_ethnicity,159.4
15-19,female,2020-01-01,Johor,overall_ethnicity,163.2
20-24,female,2020-01-01,Johor,overall_ethnicity,167.0
25-29,female,2020-01-01,Johor,overall_ethnicity,153.7
30-34,female,2020-01-01,Johor,overall_ethnicity,147.9
35-39,female,2020-01-01,Johor,overall_ethnicity,144.9
40-44,female,2020-01-01,Johor,overall_ethnicity,118.1
45-49,female,2020-01-01,Johor,overall_ethnicity,110.6
50-54,female,2020-01-01,Johor,overall_ethnicity,103.1
55-59,female,2020-01-01,Johor,overall_ethnicity,89.4
60-64,female,2020-01-01,Johor,overall_ethnicity,78.0
65-69,female,2020-01-01,Johor,overall_ethnicity,47.5
70-74,female,2020-01-01,Johor,overall_ethnicity,33.1
75-79,female,2020-01-01,Johor,overall_ethnicity,19.4
80-84,female,2020-01-01,Johor,overall_ethnicity,12.6
85+,female,2020-01-01,Johor,overall_ethnicity,9.3
overall_age,overall_sex,2020-01-01,Kedah,overall_ethnicity,2131.4
0-4,overall_sex,2020-01-01,Kedah,overall_ethnicity,181.0
5-9,overall_sex,2020-01-01,Kedah,overall_ethnicity,183.4
10-14,overall_sex,2020-01-01,Kedah,overall_ethnicity,174.5
15-19,overall_sex,2020-01-01,Kedah,overall_ethnicity,187.4
20-24,overall_sex,2020-01-01,Kedah,overall_ethnicity,219.7
25-29,overall_sex,2020-01-01,Kedah,overall_ethnicity,196.7
30-34,overall_sex,2020-01-01,Kedah,overall_ethnicity,154.8
35-39,overall_sex,2020-01-01,Kedah,overall_ethnicity,132.8
40-44,overall_sex,2020-01-01,Kedah,overall_ethnicity,117.9
45-49,overall_sex,2020-01-01,Kedah,overall_ethnicity,113.3
50-54,overall_sex,2020-01-01,Kedah,overall_ethnicity,109.7
